
Lexeme         Lineno         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol                    RuleNum             
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     term                     n                        n5                            58                  
----           ----           ----                     ----                     anyTerm                  n                        arithmeticExpr                53                  
EMPTY          ----           EMPTY                    ----                     n4                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     arithmeticExpr           n                        n4                            55                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        anyTerm                       49                  
EMPTY          ----           EMPTY                    ----                     n8                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     anyTerm                  n                        n8                            52                  
----           ----           ----                     ----                     expression               n                        arithmeticOrBooleanExpr       46                  
EMPTY          ----           EMPTY                    ----                     n7                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        n7                            48                  
----           ----           ----                     ----                     lvalueIDStmt             n                        expression                    44                  
SEMICOL        11             SEMICOL                  ----                     lvalueIDStmt             y                        SEMICOL                       -1                  
----           ----           ----                     ----                     assignmentStmt           n                        whichStmt                     94                  
----           ----           ----                     ----                     statement                n                        simpleStmt                    35                  
----           ----           ----                     ----                     statements               n                        statement                     25                  
----           ----           ----                     ----                     statements               n                        statements                    22                  
var_3_         12             ID                       ----                     assignmentStmt           y                        ID                            -1                  
----           ----           ----                     ----                     simpleStmt               n                        assignmentStmt                37                  
ASSIGNOP       12             ASSIGNOP                 ----                     lvalueIDStmt             y                        ASSIGNOP                      -1                  
----           ----           ----                     ----                     whichStmt                n                        lvalueIDStmt                  96                  
MINUS          12             MINUS                    ----                     unary_op                 y                        MINUS                         -1                  
----           ----           ----                     ----                     u                        n                        unary_op                      100                 
----           ----           ----                     ----                     expression               n                        u                             98                  
BO             12             BO                       ----                     new_NT                   y                        BO                            -1                  
----           ----           ----                     ----                     u                        n                        new_NT                        101                 
----           12             NUM                      6                        var_id_num               y                        NUM                           -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    92                  
----           ----           ----                     ----                     term                     n                        factor                        60                  
----           ----           ----                     ----                     arithmeticExpr           n                        term                          56                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     term                     n                        n5                            58                  
----           ----           ----                     ----                     new_NT                   n                        arithmeticExpr                53                  
EMPTY          ----           EMPTY                    ----                     n4                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     arithmeticExpr           n                        n4                            55                  
BC             12             BC                       ----                     new_NT                   y                        BC                            -1                  
----           ----           ----                     ----                     lvalueIDStmt             n                        expression                    45                  
SEMICOL        12             SEMICOL                  ----                     lvalueIDStmt             y                        SEMICOL                       -1                  
----           ----           ----                     ----                     assignmentStmt           n                        whichStmt                     94                  
----           ----           ----                     ----                     statement                n                        simpleStmt                    35                  
----           ----           ----                     ----                     statements               n                        statement                     25                  
----           ----           ----                     ----                     statements               n                        statements                    22                  
SQBO           13             SQBO                     ----                     optional                 y                        SQBO                          -1                  
----           ----           ----                     ----                     moduleReuseStmt          n                        optional                      39                  
R1_abc         13             ID                       ----                     idList                   y                        ID                            -1                  
----           ----           ----                     ----                     optional                 n                        idList                        41                  
COMMA          13             COMMA                    ----                     n3                       y                        COMMA                         -1                  
----           ----           ----                     ----                     idList                   n                        n3                            42                  
r2_ABC         13             ID                       ----                     n3                       y                        ID                            -1                  
COMMA          13             COMMA                    ----                     n3                       y                        COMMA                         -1                  
----           ----           ----                     ----                     n3                       n                        n3                            42                  
R3_abc         13             ID                       ----                     n3                       y                        ID                            -1                  
EMPTY          ----           EMPTY                    ----                     n3                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n3                       n                        n3                            43                  
