
Lexeme         LINENO         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol          
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExprNew        n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExprNew        n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExpr          n                        relopExpr           
EMPTY          -1             EMPTY                    ----                     relopExprNew             y                        EMPTY               
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
----           -1             ----                     ----                     factor                   n                        arithOrBoolExpr     
EMPTY          -1             EMPTY                    ----                     arithOrBoolExprNew       y                        EMPTY               
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
BC             60             BC                       ----                     factor                   y                        BC                  
----           -1             ----                     ----                     arithmeticExpr           n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
----           -1             ----                     ----                     relopExprNew             n                        arithmeticExpr      
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
----           -1             ----                     ----                     iterativeStmt            n                        arithOrBoolExpr     
AND            60             AND                      ----                     logicalOp                y                        AND                 
----           -1             ----                     ----                     arithOrBoolExprNew       n                        logicalOp           
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
c              60             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExpr           n                        term                
DIV            60             DIV                      ----                     md                       y                        DIV                 
----           -1             ----                     ----                     termNew                  n                        md                  
----           -1             ----                     ----                     term                     n                        termNew             
d              60             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     termNew                  n                        factor              
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     termNew                  n                        termNew             
----           -1             ----                     ----                     relopExpr                n                        arithmeticExpr      
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExprNew       n                        relopExpr           
GT             60             GT                       ----                     relationalOp             y                        GT                  
----           -1             ----                     ----                     relopExprNew             n                        relationalOp        
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
BO             60             BO                       ----                     factor                   y                        BO                  
----           -1             ----                     ----                     term                     n                        factor              
d              60             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExpr           n                        term                
MUL            60             MUL                      ----                     md                       y                        MUL                 
----           -1             ----                     ----                     termNew                  n                        md                  
----           -1             ----                     ----                     term                     n                        termNew             
e              60             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     termNew                  n                        factor              
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     termNew                  n                        termNew             
----           -1             ----                     ----                     relopExpr                n                        arithmeticExpr      
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExpr          n                        relopExpr           
EMPTY          -1             EMPTY                    ----                     relopExprNew             y                        EMPTY               
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
----           -1             ----                     ----                     factor                   n                        arithOrBoolExpr     
EMPTY          -1             EMPTY                    ----                     arithOrBoolExprNew       y                        EMPTY               
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
BC             60             BC                       ----                     factor                   y                        BC                  
----           -1             ----                     ----                     arithmeticExpr           n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
----           -1             ----                     ----                     relopExprNew             n                        arithmeticExpr      
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
OR             60             OR                       ----                     logicalOp                y                        OR                  
----           -1             ----                     ----                     arithOrBoolExprNew       n                        logicalOp           
----           -1             ----                     ----                     arithOrBoolExprNew       n                        arithOrBoolExprNew  
BO             60             BO                       ----                     factor                   y                        BO                  
----           -1             ----                     ----                     term                     n                        factor              
TRUE           60             TRUE                     ----                     boolConstt               y                        TRUE                
----           -1             ----                     ----                     relopExpr                n                        boolConstt          
----           -1             ----                     ----                     arithOrBoolExpr          n                        relopExpr           
----           -1             ----                     ----                     factor                   n                        arithOrBoolExpr     
EMPTY          -1             EMPTY                    ----                     arithOrBoolExprNew       y                        EMPTY               
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
BC             60             BC                       ----                     factor                   y                        BC                  
----           -1             ----                     ----                     arithmeticExpr           n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
----           -1             ----                     ----                     relopExpr                n                        arithmeticExpr      
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExprNew       n                        relopExpr           
EMPTY          -1             EMPTY                    ----                     relopExprNew             y                        EMPTY               
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
AND            60             AND                      ----                     logicalOp                y                        AND                 
----           -1             ----                     ----                     arithOrBoolExprNew       n                        logicalOp           
----           -1             ----                     ----                     arithOrBoolExprNew       n                        arithOrBoolExprNew  
BO             60             BO                       ----                     factor                   y                        BO                  
----           -1             ----                     ----                     term                     n                        factor              
BO             60             BO                       ----                     factor                   y                        BO                  
----           -1             ----                     ----                     term                     n                        factor              
c              60             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExpr           n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
----           -1             ----                     ----                     relopExpr                n                        arithmeticExpr      
MINUS          60             MINUS                    ----                     pm                       y                        MINUS               
----           -1             ----                     ----                     arithmeticExprNew        n                        pm                  
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
d              60             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExprNew        n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExprNew        n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExpr          n                        relopExpr           
EMPTY          -1             EMPTY                    ----                     relopExprNew             y                        EMPTY               
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
----           -1             ----                     ----                     factor                   n                        arithOrBoolExpr     
EMPTY          -1             EMPTY                    ----                     arithOrBoolExprNew       y                        EMPTY               
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
BC             60             BC                       ----                     factor                   y                        BC                  
----           -1             ----                     ----                     arithmeticExpr           n                        term                
MUL            60             MUL                      ----                     md                       y                        MUL                 
----           -1             ----                     ----                     termNew                  n                        md                  
----           -1             ----                     ----                     term                     n                        termNew             
----           60             RNUM                     0.000000                 var_id_num               y                        RNUM                
----           -1             ----                     ----                     factor                   n                        var_id_num          
----           -1             ----                     ----                     termNew                  n                        factor              
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     termNew                  n                        termNew             
----           -1             ----                     ----                     relopExpr                n                        arithmeticExpr      
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExpr          n                        relopExpr           
EMPTY          -1             EMPTY                    ----                     relopExprNew             y                        EMPTY               
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
----           -1             ----                     ----                     factor                   n                        arithOrBoolExpr     
EMPTY          -1             EMPTY                    ----                     arithOrBoolExprNew       y                        EMPTY               
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
BC             60             BC                       ----                     factor                   y                        BC                  
----           -1             ----                     ----                     arithmeticExpr           n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
----           -1             ----                     ----                     relopExpr                n                        arithmeticExpr      
PLUS           60             PLUS                     ----                     pm                       y                        PLUS                
----           -1             ----                     ----                     arithmeticExprNew        n                        pm                  
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
arr            60             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
SQBO           60             SQBO                     ----                     whichId                  y                        SQBO                
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           60             NUM                      10                       index                    y                        NUM                 
----           -1             ----                     ----                     whichId                  n                        index               
SQBC           60             SQBC                     ----                     whichId                  y                        SQBC                
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExprNew        n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExprNew        n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExprNew       n                        relopExpr           
EMPTY          -1             EMPTY                    ----                     relopExprNew             y                        EMPTY               
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
EMPTY          -1             EMPTY                    ----                     arithOrBoolExprNew       y                        EMPTY               
----           -1             ----                     ----                     arithOrBoolExprNew       n                        arithOrBoolExprNew  
BC             60             BC                       ----                     iterativeStmt            y                        BC                  
START          64             START                    ----                     iterativeStmt            y                        START               
EMPTY          -1             EMPTY                    ----                     statements               y                        EMPTY               
----           -1             ----                     ----                     iterativeStmt            n                        statements          
END            66             END                      ----                     iterativeStmt            y                        END                 
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     statements               n                        statements          
WHILE          68             WHILE                    ----                     iterativeStmt            y                        WHILE               
----           -1             ----                     ----                     statement                n                        iterativeStmt       
BO             68             BO                       ----                     iterativeStmt            y                        BO                  
BO             68             BO                       ----                     factor                   y                        BO                  
----           -1             ----                     ----                     term                     n                        factor              
TRUE           68             TRUE                     ----                     boolConstt               y                        TRUE                
----           -1             ----                     ----                     relopExpr                n                        boolConstt          
----           -1             ----                     ----                     arithOrBoolExpr          n                        relopExpr           
----           -1             ----                     ----                     factor                   n                        arithOrBoolExpr     
EMPTY          -1             EMPTY                    ----                     arithOrBoolExprNew       y                        EMPTY               
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
BC             68             BC                       ----                     factor                   y                        BC                  
----           -1             ----                     ----                     arithmeticExpr           n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
----           -1             ----                     ----                     relopExpr                n                        arithmeticExpr      
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExpr          n                        relopExpr           
EMPTY          -1             EMPTY                    ----                     relopExprNew             y                        EMPTY               
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
----           -1             ----                     ----                     iterativeStmt            n                        arithOrBoolExpr     
EMPTY          -1             EMPTY                    ----                     arithOrBoolExprNew       y                        EMPTY               
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
BC             68             BC                       ----                     iterativeStmt            y                        BC                  
START          69             START                    ----                     iterativeStmt            y                        START               
EMPTY          -1             EMPTY                    ----                     statements               y                        EMPTY               
----           -1             ----                     ----                     iterativeStmt            n                        statements          
END            70             END                      ----                     iterativeStmt            y                        END                 
----           -1             ----                     ----                     statements               n                        statement           
----           -1             ----                     ----                     statements               n                        statements          
arithorboolvar 79             ID                       ----                     assignmentStmt           y                        ID                  
----           -1             ----                     ----                     simpleStmt               n                        assignmentStmt      
ASSIGNOP       79             ASSIGNOP                 ----                     lvalueIDStmt             y                        ASSIGNOP            
----           -1             ----                     ----                     whichStmt                n                        lvalueIDStmt        
a              79             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExpr           n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
----           -1             ----                     ----                     relopExpr                n                        arithmeticExpr      
PLUS           79             PLUS                     ----                     pm                       y                        PLUS                
----           -1             ----                     ----                     arithmeticExprNew        n                        pm                  
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
b              79             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExprNew        n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExprNew        n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExpr          n                        relopExpr           
LT             79             LT                       ----                     relationalOp             y                        LT                  
----           -1             ----                     ----                     relopExprNew             n                        relationalOp        
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
BO             79             BO                       ----                     factor                   y                        BO                  
----           -1             ----                     ----                     term                     n                        factor              
b              79             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExpr           n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
----           -1             ----                     ----                     relopExpr                n                        arithmeticExpr      
MINUS          79             MINUS                    ----                     pm                       y                        MINUS               
----           -1             ----                     ----                     arithmeticExprNew        n                        pm                  
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
c              79             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExprNew        n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExprNew        n                        arithmeticExprNew   
----           -1             ----                     ----                     arithOrBoolExpr          n                        relopExpr           
EMPTY          -1             EMPTY                    ----                     relopExprNew             y                        EMPTY               
----           -1             ----                     ----                     relopExpr                n                        relopExprNew        
----           -1             ----                     ----                     factor                   n                        arithOrBoolExpr     
EMPTY          -1             EMPTY                    ----                     arithOrBoolExprNew       y                        EMPTY               
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
BC             79             BC                       ----                     factor                   y                        BC                  
----           -1             ----                     ----                     arithmeticExpr           n                        term                
EMPTY          -1             EMPTY                    ----                     termNew                  y                        EMPTY               
----           -1             ----                     ----                     term                     n                        termNew             
----           -1             ----                     ----                     relopExprNew             n                        arithmeticExpr      
EMPTY          -1             EMPTY                    ----                     arithmeticExprNew        y                        EMPTY               
----           -1             ----                     ----                     arithmeticExpr           n                        arithmeticExprNew   
----           -1             ----                     ----                     expression               n                        arithOrBoolExpr     
AND            79             AND                      ----                     logicalOp                y                        AND                 
----           -1             ----                     ----                     arithOrBoolExprNew       n                        logicalOp           
----           -1             ----                     ----                     arithOrBoolExpr          n                        arithOrBoolExprNew  
c              79             ID                       ----                     var_id_num               y                        ID                  
----           -1             ----                     ----                     factor                   n                        var_id_num          
EMPTY          -1             EMPTY                    ----                     whichId                  y                        EMPTY               
----           -1             ----                     ----                     var_id_num               n                        whichId             
----           -1             ----                     ----                     term                     n                        factor              
----           -1             ----                     ----                     arithmeticExpr           n                        term                
