
Lexeme         LINENO         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol          
----           -1             ----                     ----                     range_arrays             n                        index               
----           -1             ----                     ----                     dataType                 n                        range_arrays        
RANGEOP        21             RANGEOP                  ----                     range_arrays             y                        RANGEOP             
----           21             NUM                      9999                     index                    y                        NUM                 
----           -1             ----                     ----                     range_arrays             n                        index               
SQBC           21             SQBC                     ----                     dataType                 y                        SQBC                
OF             21             OF                       ----                     dataType                 y                        OF                  
INTEGER        21             INTEGER                  ----                     type                     y                        INTEGER             
----           -1             ----                     ----                     dataType                 n                        type                
COMMA          21             COMMA                    ----                     input_plistNew           y                        COMMA               
----           -1             ----                     ----                     input_plistNew           n                        input_plistNew      
ip4            21             ID                       ----                     input_plistNew           y                        ID                  
COLON          21             COLON                    ----                     input_plistNew           y                        COLON               
BOOLEAN        21             BOOLEAN                  ----                     type                     y                        BOOLEAN             
----           -1             ----                     ----                     dataType                 n                        type                
----           -1             ----                     ----                     input_plistNew           n                        dataType            
COMMA          21             COMMA                    ----                     input_plistNew           y                        COMMA               
----           -1             ----                     ----                     input_plistNew           n                        input_plistNew      
ip768          21             ID                       ----                     input_plistNew           y                        ID                  
COLON          21             COLON                    ----                     input_plistNew           y                        COLON               
ARRAY          21             ARRAY                    ----                     dataType                 y                        ARRAY               
----           -1             ----                     ----                     input_plistNew           n                        dataType            
SQBO           21             SQBO                     ----                     dataType                 y                        SQBO                
id1            21             ID                       ----                     index                    y                        ID                  
----           -1             ----                     ----                     range_arrays             n                        index               
----           -1             ----                     ----                     dataType                 n                        range_arrays        
RANGEOP        21             RANGEOP                  ----                     range_arrays             y                        RANGEOP             
----           21             NUM                      7                        index                    y                        NUM                 
----           -1             ----                     ----                     range_arrays             n                        index               
SQBC           21             SQBC                     ----                     dataType                 y                        SQBC                
OF             21             OF                       ----                     dataType                 y                        OF                  
REAL           21             REAL                     ----                     type                     y                        REAL                
----           -1             ----                     ----                     dataType                 n                        type                
COMMA          21             COMMA                    ----                     input_plistNew           y                        COMMA               
----           -1             ----                     ----                     input_plistNew           n                        input_plistNew      
ip689          21             ID                       ----                     input_plistNew           y                        ID                  
COLON          21             COLON                    ----                     input_plistNew           y                        COLON               
ARRAY          21             ARRAY                    ----                     dataType                 y                        ARRAY               
----           -1             ----                     ----                     input_plistNew           n                        dataType            
SQBO           21             SQBO                     ----                     dataType                 y                        SQBO                
----           21             NUM                      7                        index                    y                        NUM                 
----           -1             ----                     ----                     range_arrays             n                        index               
----           -1             ----                     ----                     dataType                 n                        range_arrays        
RANGEOP        21             RANGEOP                  ----                     range_arrays             y                        RANGEOP             
id9            21             ID                       ----                     index                    y                        ID                  
----           -1             ----                     ----                     range_arrays             n                        index               
SQBC           21             SQBC                     ----                     dataType                 y                        SQBC                
OF             21             OF                       ----                     dataType                 y                        OF                  
REAL           21             REAL                     ----                     type                     y                        REAL                
----           -1             ----                     ----                     dataType                 n                        type                
EMPTY          -1             EMPTY                    ----                     input_plistNew           y                        EMPTY               
----           -1             ----                     ----                     input_plistNew           n                        input_plistNew      
SQBC           21             SQBC                     ----                     module                   y                        SQBC                
SEMICOL        21             SEMICOL                  ----                     module                   y                        SEMICOL             
RETURNS        22             RETURNS                  ----                     ret                      y                        RETURNS             
----           -1             ----                     ----                     module                   n                        ret                 
SQBO           22             SQBO                     ----                     ret                      y                        SQBO                
ip4            22             ID                       ----                     output_plist             y                        ID                  
----           -1             ----                     ----                     ret                      n                        output_plist        
COLON          22             COLON                    ----                     output_plist             y                        COLON               
REAL           22             REAL                     ----                     type                     y                        REAL                
----           -1             ----                     ----                     output_plist             n                        type                
COMMA          22             COMMA                    ----                     output_plistNew          y                        COMMA               
----           -1             ----                     ----                     output_plist             n                        output_plistNew     
ip2            22             ID                       ----                     output_plistNew          y                        ID                  
