
Lexeme         Lineno         tokenName                valIfNumber              parentNodeSymbol         IsLeafNode(y/n)          nodeSymbol                    RuleNum             
PLUS           13             PLUS                     ----                     op1                      y                        PLUS                          -1                  
----           ----           ----                     ----                     n4                       n                        op1                           63                  
----           ----           ----                     ----                     arithmeticExpr           n                        n4                            54                  
x              13             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    91                  
EMPTY          ----           EMPTY                    ----                     whichId                  y                        EMPTY                         -1                  
----           ----           ----                     ----                     var_id_num               n                        whichId                       32                  
----           ----           ----                     ----                     term                     n                        factor                        60                  
----           ----           ----                     ----                     n4                       n                        term                          56                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     term                     n                        n5                            58                  
PLUS           13             PLUS                     ----                     op1                      y                        PLUS                          -1                  
----           ----           ----                     ----                     n4                       n                        op1                           63                  
----           ----           ----                     ----                     n4                       n                        n4                            54                  
k              13             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     factor                   n                        var_id_num                    91                  
EMPTY          ----           EMPTY                    ----                     whichId                  y                        EMPTY                         -1                  
----           ----           ----                     ----                     var_id_num               n                        whichId                       32                  
----           ----           ----                     ----                     term                     n                        factor                        60                  
----           ----           ----                     ----                     n4                       n                        term                          56                  
EMPTY          ----           EMPTY                    ----                     n5                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     term                     n                        n5                            58                  
EMPTY          ----           EMPTY                    ----                     n4                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     n4                       n                        n4                            55                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        anyTerm                       49                  
EMPTY          ----           EMPTY                    ----                     n8                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     anyTerm                  n                        n8                            52                  
----           ----           ----                     ----                     expression               n                        arithmeticOrBooleanExpr       46                  
EMPTY          ----           EMPTY                    ----                     n7                       y                        EMPTY                         -1                  
----           ----           ----                     ----                     arithmeticOrBooleanExpr  n                        n7                            48                  
----           ----           ----                     ----                     lvalueIDStmt             n                        expression                    44                  
SEMICOL        13             SEMICOL                  ----                     lvalueIDStmt             y                        SEMICOL                       -1                  
----           ----           ----                     ----                     assignmentStmt           n                        whichStmt                     94                  
----           ----           ----                     ----                     statement                n                        simpleStmt                    35                  
----           ----           ----                     ----                     statements               n                        statement                     25                  
----           ----           ----                     ----                     statements               n                        statements                    22                  
PRINT          14             PRINT                    ----                     ioStmt                   y                        PRINT                         -1                  
----           ----           ----                     ----                     statement                n                        ioStmt                        30                  
BO             14             BO                       ----                     ioStmt                   y                        BO                            -1                  
z              14             ID                       ----                     var_id_num               y                        ID                            -1                  
----           ----           ----                     ----                     var                      n                        var_id_num                    91                  
EMPTY          ----           EMPTY                    ----                     whichId                  y                        EMPTY                         -1                  
----           ----           ----                     ----                     var_id_num               n                        whichId                       32                  
----           ----           ----                     ----                     ioStmt                   n                        var                           61                  
BC             14             BC                       ----                     ioStmt                   y                        BC                            -1                  
SEMICOL        14             SEMICOL                  ----                     ioStmt                   y                        SEMICOL                       -1                  
----           ----           ----                     ----                     statements               n                        statement                     24                  
----           ----           ----                     ----                     statements               n                        statements                    22                  
EMPTY          ----           EMPTY                    ----                     statements               y                        EMPTY                         -1                  
----           ----           ----                     ----                     statements               n                        statements                    23                  
END            15             END                      ----                     iterativeStmt            y                        END                           -1                  
----           ----           ----                     ----                     statements               n                        statement                     28                  
----           ----           ----                     ----                     statements               n                        statements                    22                  
EMPTY          ----           EMPTY                    ----                     statements               y                        EMPTY                         -1                  
----           ----           ----                     ----                     statements               n                        statements                    23                  
END            16             END                      ----                     moduleDef                y                        END                           -1                  
EMPTY          ----           EMPTY                    ----                     otherModules             y                        EMPTY                         -1                  
----           ----           ----                     ----                     program                  n                        otherModules                  5                   
