Type                Parent              Is Leaf  Terminal/Non-Terminal  Line Number Lexeme                Data Type Operator  Value   Rule Number 
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    29          
LEAF                IO                  Yes      ID                     22          E                     ----      ----      E       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     25          A                     ----      ----      A       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
SIMPLE STMT         STATEMENT           No       simpleStmt             ----        ----                  ----      ----      ----    35          
ASSIGN              SIMPLE STMT         No       assignmentStmt         ----        ----                  ----      ----      ----    37          
LEAF                ASSIGN              Yes      ID                     26          sum1                  ----      ----      sum1    0           
LEAF                ASSIGN              Yes      NUM                    26          ----                  ----      ----      ----    0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
ITER STMT           STATEMENT           No       iterativeStmt          ----        ----                  ----      ----      ----    85          
LEAF                ITER STMT           Yes      ID                     27          k                     ----      ----      k       0           
RANGE ARRAYS        ITER STMT           No       range                  ----        ----                  ----      ----      ----    87          
LEAF                RANGE ARRAYS        Yes      NUM                    27          ----                  ----      ----      ----    0           
LEAF                RANGE ARRAYS        Yes      NUM                    27          ----                  ----      ----      ----    0           
STATEMENT           ITER STMT           No       statements             ----        ----                  ----      ----      ----    22          
DECLARE STMT        STATEMENT           No       declareStmt            ----        ----                  ----      ----      ----    75          
ID LIST             DECLARE STMT        No       idList                 ----        ----                  ----      ----      ----    41          
LEAF                ID LIST             Yes      ID                     29          popp                  ----      ----      popp    0           
LEAF                DECLARE STMT        Yes      INTEGER                29          INTEGER               ----      ----      INTEGER 16          
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
IO                  STATEMENT           No       ioStmt                 ----        ----                  ----      ----      ----    30          
VARIDNUM            IO                  No       var_id_num             ----        ----                  Integer   ----      ----    91          
LEAF                VARIDNUM            Yes      ID                     30          A                     ----      ----      A       0           
LEAF                VARIDNUM            Yes      ID                     30          k                     ----      ----      k       0           
STATEMENT           STATEMENT           No       statements             ----        ----                  ----      ----      ----    22          
SIMPLE STMT         STATEMENT           No       simpleStmt             ----        ----                  ----      ----      ----    35          
ASSIGN              SIMPLE STMT         No       assignmentStmt         ----        ----                  ----      ----      ----    37          
LEAF                ASSIGN              Yes      ID                     31          sum1                  ----      ----      sum1    0           
